title,year,imdb,tmdb,genre
Five Came Back: The Reference Films,1945,0,0,documentation
Taxi Driver,1976,8.3,8.2,crime
Monty Python and the Holy Grail,1975,8.2,7.8,comedy
Life of Brian,1979,8,7.8,comedy
The Exorcist,1973,8.1,7.7,horror
Monty Python's Flying Circus,1969,8.8,8.3,comedy
Dirty Harry,1971,7.7,7.5,thriller
My Fair Lady,1964,7.8,7.6,drama
The Blue Lagoon,1980,5.8,6.2,romance
Bonnie and Clyde,1967,7.7,7.5,drama
The Professionals,1966,7.3,7.1,western
The Guns of Navarone,1961,7.5,7.4,war
Lupin the Third: The Castle of Cagliostro,1979,7.6,7.5,comedy
Richard Pryor: Live in Concert,1979,8.1,7.5,comedy
The Long Riders,1980,6.9,6.6,western
White Christmas,1954,7.5,7.2,romance
Cairo Station,1958,7.5,7.4,drama
The Queen,1968,7.2,6.5,documentation
Hitler: A Career,1977,7.5,7.4,documentation
FTA,1972,6.2,6.1,comedy
Saladin the Victorious,1963,7.6,7.1,drama
Singapore,1960,6.4,6.3,drama
Dark Waters,1956,6.7,5.9,drama
AlexandriaÉ Why?,1979,7.2,6,drama
Raya and Sakina,1953,6.8,5.8,drama
No Longer Kids,1979,9,7.7,comedy
Amrapali,1966,6.7,6.3,fantasy
Dostana,1980,2.1,4.9,drama
The Blazing Sun,1954,7.4,7,romance
Monty Python's Fliegender Zirkus,1972,8.1,7,comedy
The Return of the Prodigal Son,1976,7.2,5.4,drama
Prince,1969,6.9,7,romance
Lock Your Girls In,1980,0,8,comedy
The Witness Who Didn't See Anything,1976,0,7.7,comedy
The School of Mischief,1973,0,8.5,comedy
Manoranjan,1974,6.5,5.3,comedy
We Are All for the Fatherland,1979,6.2,5.3,documentation
Whispers,1980,7.8,5,documentation
Lal Patthar,1971,6.2,7,drama
Ujala,1959,6.7,6,romance
Alibaba Aur 40 Chor,1979,6.2,6.8,drama
Professor,1962,6.8,5.8,romance
Chadi Jawani Budhe Nu,1976,4.6,6,romance
Bandie,1978,4.2,6,drama
Khoon Khoon,1973,5.1,3.8,drama
Top Gun,1986,6.9,7,drama
Seinfeld,1989,8.9,8.3,comedy
Stand by Me,1986,8.1,7.9,drama
Once Upon a Time in America,1984,8.3,8.4,drama
When Harry Met Sally...,1989,7.7,7.4,romance
Teenage Mutant Ninja Turtles,1990,6.7,6.6,scifi
Full Metal Jacket,1987,8.3,8.1,drama
Christine,1983,6.7,6.8,horror
A Nightmare on Elm Street,1984,7.4,7.3,horror
Knight Rider,1982,6.9,7.5,action
Awakenings,1990,7.8,7.8,drama
Thomas & Friends,1984,6.5,6.6,family
Annie,1982,6.6,6.5,drama
Pet Sematary,1989,6.5,6.6,horror
Saved by the Bell,1989,7.1,8,comedy
She's Gotta Have It,1986,6.7,6.7,comedy
Eddie Murphy Raw,1987,7.6,7.3,comedy
Endless Love,1981,4.9,5.6,drama
Wheel of Fortune,1983,6.7,6.7,family
Major Dad,1989,6.4,6.3,comedy
Fireman Sam,1987,6.1,7.3,comedy
Danger Mouse,1981,7.4,7.4,comedy
Mobile Suit Gundam II: Soldiers of Sorrow,1981,7.2,7.2,scifi
Mobile Suit Gundam: Char's Counterattack,1988,7.3,6.8,scifi
Sam Kinison: Breaking the Rules,1987,7.2,7.2,comedy
Tim Allen: Men Are Pigs,1990,6,6.3,comedy
Monty Python Live at the Hollywood Bowl,1982,7.9,7.4,comedy
The George McKenna Story,1988,6,6.1,drama
Unspeakable Acts,1990,6,5.3,drama
Waiting for the Hearse,1985,8,8.2,comedy
Mobile Suit Gundam III: Encounters in Space,1982,7.7,7.5,animation
Agneepath,1990,7.6,6.5,action
Parrot Sketch Not Included: Twenty Years of Monty Python,1989,8.1,6.8,comedy
Too Young The Hero,1988,6.7,6.9,drama
Adam: His Song Continues,1986,7,7,crime
Disco Dancer,1982,6.5,5.3,drama
